Japanese,Kana,Romaji,Meaning,Part of speech,Chapter,Register,Usage note,Example 1 (Japanese),Example 1 (English),Example 2 (Japanese),Example 2 (English),Contrast,Misuse note
フレックスタイム制を利用している,ふれっくすたいむ,furekkusu taimu,I use the flextime system.,collocation,Daily Life,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,フレックスタイム制を利用している。,I use the flextime system.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
技術の習得は一朝一夕にはいかない,いっちょういっせき,icchou isseki,Mastering a skill doesn't happen overnight.,collocation,Daily Life,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,技術の習得は一朝一夕にはいかない。,Mastering a skill doesn't happen overnight.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
教科書の十ページを開いてください,きょうかしょ,kyoukasho,Please open your textbook to page ten.,collocation,Daily Life,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,教科書の十ページを開いてください。,Please open your textbook to page ten.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
本を読む,ほん,hon,Read a book.,collocation,Daily Life,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,本を読む。,Read a book.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
服を売る,うる,uru,I sell clothes.,collocation,Daily Life,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,服を売る。,I sell clothes.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
窓を開ける,まど,mado,Open the window.,collocation,Daily Life,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,窓を開ける。,Open the window.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
ドアを閉める,どあ,doa,Close the door.,collocation,Daily Life,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,ドアを閉める。,Close the door.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
ベッドで寝る,べっど,beddo,Sleep in the bed.,collocation,Daily Life,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,ベッドで寝る。,Sleep in the bed.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
最近残業が多い,ざんぎょう,zangyou,I have a lot of overtime recently.,collocation,Daily Life,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,最近残業が多い。,I have a lot of overtime recently.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
新しい本を買う,あたらしい,atarashii,I buy a new book.,collocation,Daily Life,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,新しい本を買う。,I buy a new book.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
年鑑を刊行する,かんこう,kankou,Publish the yearbook.,collocation,Daily Life,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,年鑑を刊行する。,Publish the yearbook.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
時間を管理する,かんり,kanri,Manage time.,collocation,Daily Life,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,時間を管理する。,Manage time.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
連休に旅行する,れんきゅう,renkyuu,Travel during the holidays.,collocation,Daily Life,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,連休に旅行する。,Travel during the holidays.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
時間を短縮する,たんしゅく,tanshuku,Shorten the time.,collocation,Daily Life,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,時間を短縮する。,Shorten the time.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
夜間勤務がある,きんむ,kinmu,There is night duty.,collocation,Daily Life,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,夜間勤務がある。,There is night duty.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
定時に退勤する,たいきん,taikin,Leave work on time.,collocation,Daily Life,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,定時に退勤する。,Leave work on time.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
パソコンを使う,ぱそこん,pasokon,Use a computer.,collocation,Daily Life,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,パソコンを使う。,Use a computer.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
口座を開設する,こうざ,kouza,Open a bank account.,collocation,Daily Life,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,口座を開設する。,Open a bank account.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
面会を拒まれた,こばむ,kobamu,I was refused a meeting.,collocation,Daily Life,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,面会を拒まれた。,I was refused a meeting.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
明日は暇ですか,ひま,hima,Are you free tomorrow?,collocation,Daily Life,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,明日は暇ですか。,Are you free tomorrow?,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
立派な家ですね,りっぱ,rippa,What a splendid house!,collocation,Daily Life,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,立派な家ですね。,What a splendid house!,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
体力を消耗した,しょうもう,shoumou,I used up my energy.,collocation,Daily Life,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,体力を消耗した。,I used up my energy.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
役職を固辞した,こじ,koji,He firmly refused the post.,collocation,Daily Life,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,役職を固辞した。,He firmly refused the post.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
当時を述懐する,じゅっかい,jukkai,I reminisce about those days.,collocation,Daily Life,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,当時を述懐する。,I reminisce about those days.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
権力を濫用する,らんよう,ran'you,They abuse their power.,collocation,Daily Life,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,権力を濫用する。,They abuse their power.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
今、何時ですか,なんじ,nanji,What time is it now?,collocation,Daily Life,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,今、何時ですか。,What time is it now?,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
営業を再開した,さいかい,saikai,We resumed business.,collocation,Daily Life,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,営業を再開した。,We resumed business.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
提案を拒絶する,きょぜつする,kyozetsu suru,They reject the proposal.,collocation,Daily Life,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,提案を拒絶する。,They reject the proposal.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
今日は予定がある,よてい,yotei,I have plans today.,collocation,Daily Life,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,今日は予定がある。,I have plans today.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
病院の予約をした,よやく,yoyaku,I made a hospital appointment.,collocation,Daily Life,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,病院の予約をした。,I made a hospital appointment.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
引き出しを開ける,ひきだし,hikidashi,I open the drawer.,collocation,Daily Life,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,引き出しを開ける。,I open the drawer.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
自由席を利用する,じゆうせき,jiyuuseki,Use a non-reserved seat.,collocation,Daily Life,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,自由席を利用する。,Use a non-reserved seat.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
時間に制限がある,せいげん,seigen,There is a time limit.,collocation,Daily Life,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,時間に制限がある。,There is a time limit.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
資源を有効に使う,しげん,shigen,Use resources efficiently.,collocation,Daily Life,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,資源を有効に使う。,Use resources efficiently.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
机の上に本がある,ある,aru,There is a book on the desk.,collocation,Daily Life,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,机の上に本がある。,There is a book on the desk.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
この本を翻訳した,ほんやく,honyaku,I translated this book.,collocation,Daily Life,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,この本を翻訳した。,I translated this book.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
今日は用事がある,ようじ,youji,I have something to do today.,collocation,Daily Life,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,今日は用事がある。,I have something to do today.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
家に帰る,いえ,ie,Go home.,collocation,Home and Housework,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,家に帰る。,Go home.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
部屋を掃除する,へや,heya,Clean the room.,collocation,Home and Housework,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,部屋を掃除する。,Clean the room.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
台所で料理する,だいどころ,daidokoro,Cook in the kitchen.,collocation,Home and Housework,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,台所で料理する。,Cook in the kitchen.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
家の奥に部屋がある,おく,oku,There is a room in the back of the house.,collocation,Home and Housework,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,家の奥に部屋がある。,There is a room in the back of the house.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
母の手料理が恋しい,てりょうり,teryouri,I miss my mother's home-cooked food.,collocation,Home and Housework,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,母の手料理が恋しい。,I miss my mother's home-cooked food.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
最近、料理に凝っている,こる,koru,Lately I'm really into cooking.,collocation,Home and Housework,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,最近、料理に凝っている。,Lately I'm really into cooking.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
お袋の味を再現しようとした,おふくろのあじ,ofukuro no aji,I tried to recreate the taste of my mother's home cooking.,collocation,Home and Housework,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,お袋の味を再現しようとした。,I tried to recreate the taste of my mother's home cooking.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
部屋を片付けてすっきりした,すっきり,sukkiri,I cleaned the room and felt refreshed.,collocation,Home and Housework,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,部屋を片付けてすっきりした。,I cleaned the room and felt refreshed.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
調理場は常に清潔に保たれている,ちょうりば,chouriba,The cooking area is always kept clean.,collocation,Home and Housework,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,調理場は常に清潔に保たれている。,The cooking area is always kept clean.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
家庭料理を教える教室に通っている,かていりょうり,katei ryouri,I attend a class that teaches home cooking.,collocation,Home and Housework,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,家庭料理を教える教室に通っている。,I attend a class that teaches home cooking.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
風呂に入る,ふろ,furo,Take a bath.,collocation,Home and Housework,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,風呂に入る。,Take a bath.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
宿題をする,する,suru,I do homework.,collocation,Home and Housework,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,宿題をする。,I do homework.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
宿題を忘れた,わすれる,wasureru,I forgot my homework.,collocation,Home and Housework,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,宿題を忘れた。,I forgot my homework.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
素直に謝った,すなお,sunao,I apologized honestly.,collocation,Home and Housework,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,素直に謝った。,I apologized honestly.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
宿題を済ませる,すませる,sumaseru,I finish my homework.,collocation,Home and Housework,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,宿題を済ませる。,I finish my homework.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
新居を契約した,けいやくする,keiyaku suru,I signed a contract for a new home.,collocation,Home and Housework,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,新居を契約した。,I signed a contract for a new home.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
洗濯物を畳んだ,たたむ,tatamu,I folded the laundry.,collocation,Home and Housework,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,洗濯物を畳んだ。,I folded the laundry.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
研究に没頭する,ぼっとうする,bottou suru,I immerse myself in research.,collocation,Home and Housework,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,研究に没頭する。,I immerse myself in research.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
机を窓際に移した,うつす,utsusu,I moved the desk near the window.,collocation,Home and Housework,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,机を窓際に移した。,I moved the desk near the window.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
客を部屋に通した,とおす,toosu,I showed the guest into the room.,collocation,Home and Housework,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,客を部屋に通した。,I showed the guest into the room.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
窓から海を眺めた,ながめる,nagameru,I gazed at the sea from the window.,collocation,Home and Housework,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,窓から海を眺めた。,I gazed at the sea from the window.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
部屋に机を据えた,すえる,sueru,I set a desk in the room.,collocation,Home and Housework,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,部屋に机を据えた。,I set a desk in the room.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
部屋の寸法を測る,すんぽう,sunpou,I measure the dimensions of the room.,collocation,Home and Housework,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,部屋の寸法を測る。,I measure the dimensions of the room.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
窓から中を覗いた,のぞく,nozoku,I peeked inside through the window.,collocation,Home and Housework,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,窓から中を覗いた。,I peeked inside through the window.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
心にゆとりを持つ,ゆとり,yutori,I keep some peace of mind.,collocation,Home and Housework,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,心にゆとりを持つ。,I keep some peace of mind.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
故郷を離れて働く,はなれる,hanareru,I work away from my hometown.,collocation,Home and Housework,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,故郷を離れて働く。,I work away from my hometown.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
改善の余地がある,よち,yochi,There is room for improvement.,collocation,Home and Housework,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,改善の余地がある。,There is room for improvement.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
漫画に夢中になる,むちゅう,muchuu,I get absorbed in comics.,collocation,Home and Housework,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,漫画に夢中になる。,I get absorbed in comics.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
郷里を離れて働く,きょうり,kyouri,I work away from my hometown.,collocation,Home and Housework,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,郷里を離れて働く。,I work away from my hometown.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
故郷の味が恋しい,こいしい,koishii,I miss the taste of my hometown.,collocation,Home and Housework,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,故郷の味が恋しい。,I miss the taste of my hometown.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
貸切風呂を予約した,かしきり,kashikiri,I reserved a private bath.,collocation,Home and Housework,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,貸切風呂を予約した。,I reserved a private bath.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
トイレはどこですか,といれ,toire,Where is the restroom?,collocation,Home and Housework,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,トイレはどこですか。,Where is the restroom?,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
店員が注文を通した,ちゅうもんをとおす,chuumon o toosu,The staff member placed the order.,collocation,Home and Housework,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,店員が注文を通した。,The staff member placed the order.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
皿を洗ってください,さら,sara,Please wash the dishes.,collocation,Home and Housework,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,皿を洗ってください。,Please wash the dishes.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
険しい山道を登った,けわしい,kewashii,I climbed a steep mountain path.,collocation,Home and Housework,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,険しい山道を登った。,I climbed a steep mountain path.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
粉飾決算が発覚した,ふんしょく,funshoku,Falsified financial statements came to light.,collocation,Home and Housework,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,粉飾決算が発覚した。,Falsified financial statements came to light.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
掃除を徹底して行う,てってい,tettei,I clean thoroughly.,collocation,Home and Housework,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,掃除を徹底して行う。,I clean thoroughly.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
日が暮れる前に帰る,くれる,kureru,I go home before it gets dark.,collocation,Home and Housework,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,日が暮れる前に帰る。,I go home before it gets dark.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
料理にみりんを加えた,みりん,mirin,I added mirin to the dish.,collocation,Home and Housework,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,料理にみりんを加えた。,I added mirin to the dish.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
もち米で赤飯を炊いた,もちごめ,mochigome,I cooked red rice using glutinous rice.,collocation,Home and Housework,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,もち米で赤飯を炊いた。,I cooked red rice using glutinous rice.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
帰省中に墓参りをした,はかまいり,hakamairi,I visited the family grave during my hometown visit.,collocation,Home and Housework,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,帰省中に墓参りをした。,I visited the family grave during my hometown visit.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
宿題を出してください,だす,dasu,Please hand in your homework.,collocation,Home and Housework,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,宿題を出してください。,Please hand in your homework.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
水を流して手を洗った,ながす,nagasu,I ran water and washed my hands.,collocation,Home and Housework,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,水を流して手を洗った。,I ran water and washed my hands.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
ゲームに熱中している,ねっちゅう,necchuu,I am absorbed in the game.,collocation,Home and Housework,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,ゲームに熱中している。,I am absorbed in the game.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
この花はきれいですね,きれい,kirei,"This flower is beautiful, isn't it?",collocation,Home and Housework,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,この花はきれいですね。,"This flower is beautiful, isn't it?",,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
薬を処方してもらった,しょほう,shohou,I was prescribed medicine.,collocation,Home and Housework,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,薬を処方してもらった。,I was prescribed medicine.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
