Japanese,Kana,Romaji,Meaning,Part of speech,Chapter,Register,Usage note,Example 1 (Japanese),Example 1 (English),Example 2 (Japanese),Example 2 (English),Contrast,Misuse note
乗り継ぎ時間が短い,のりつぎじかんがみじかい,noritsugi jikan ga mijikai,to have a short connection time,collocation,Daily Life,neutral,The duration being evaluated is the subject of 短い and is marked with が.,乗り継ぎ時間が短いので、到着後すぐ次の搭乗口へ向かった。,"The connection was short, so I went straight to the next gate after landing.",この便は乗り継ぎ時間が短すぎて不安だ。,I'm worried that this flight leaves too little time for the connection.,待ち時間が長い: the waiting time is long / 乗り継ぎに間に合う: make the connection,"An adjective predicate takes が here, not を. Use を only with a transitive verb such as 乗り継ぎ時間を短縮する."
予定を共有する,よていをきょうゆうする,yotei o kyouyuu suru,to share a schedule or plans,collocation,Daily Life,neutral,共有する takes the information or resource being shared with を. The people sharing it can be marked with と.,家族の予定をカレンダーアプリで共有している。,We share the family's schedule in a calendar app.,会議の前に全員で今日の予定を共有した。,"Before the meeting, everyone reviewed and shared today's schedule.",予定を知らせる: tell someone the plan / 情報を共有する: share information,The shared item takes を. Use Xと予定を共有する for 'share the schedule with X.'
読書をして過ごす,どくしょをしてすごす,dokusho o shite sugosu,to spend time reading,collocation,Daily Life,neutral,"Xをして過ごす names the activity used to fill a period of time. 読書する is also possible, but this pattern highlights how the time is spent.",雨の日は家で読書をして過ごすことが多い。,"On rainy days, I often spend my time reading at home.",連休は図書館で読書をして過ごした。,I spent the holiday reading at the library.,本を読んで過ごす: spend the time reading books / のんびり過ごす: spend the time relaxing,Use する for the activity 読書. 作る does not combine with 読書 to mean 'do some reading.'
制度を利用する,せいどをりようする,seido o riyou suru,to make use of a system or program,collocation,Daily Life,neutral,"利用する is natural for making practical use of an available system, service, facility, or benefit.",育児休業の制度を利用して半年休んだ。,I used the parental-leave program and took six months off.,条件を満たせば、補助制度を利用できます。,You can use the subsidy program if you meet the conditions.,制度を活用する: make effective use of a system / 制度を導入する: introduce a system,"Mark the system with を. If a person is exploited by a system, the roles and particles are different, as in 制度に利用される."
一朝一夕にはいかない,いっちょういっせきにはいかない,icchou isseki ni wa ikanai,cannot be achieved overnight,collocation,Daily Life,neutral,This fixed expression says that a difficult result cannot be achieved in a single morning and evening. It normally appears with a negative predicate.,自然な発音を身につけるのは一朝一夕にはいかない。,Natural pronunciation cannot be mastered overnight.,信頼関係は一朝一夕には築けない。,A relationship of trust cannot be built overnight.,すぐにはできない: cannot be done immediately / 時間がかかる: takes time,"The idiom normally combines with には and a negative expression such as いかない, できない, or 身につかない."
ページを開く,ぺーじをひらく,peeji o hiraku,to open to a page; open a page,collocation,Daily Life,neutral,開く is read ひらく here and is used for opening a book to a page or opening a webpage.,教科書の四十二ページを開いてください。,Please open your textbook to page forty-two.,リンクを押すと、新しいページが開く。,Pressing the link opens a new page.,本を開く: open a book / ページをめくる: turn a page,"起こす means raise, wake, or cause. Use 開く for opening a book or webpage, and distinguish transitive ページを開く from intransitive ページが開く."
本を読む,ほんをよむ,hon o yomu,to read a book,collocation,Daily Life,neutral,読む is the standard verb for engaging with the written content of a book.,寝る前に三十分だけ本を読む。,I read a book for just thirty minutes before bed.,子どもに毎晩同じ本を読んでいる。,I read the same book to my child every night.,本を見る: look at or consult a book / 本を読み返す: reread a book,"Use 聞く for audio and 読む for written text. In 子どもに本を読む, に marks the person being read to."
服を売る,ふくをうる,fuku o uru,to sell clothes,collocation,Daily Life,neutral,The item transferred in exchange for money is the direct object of 売る and takes を.,着なくなった服をフリーマーケットで売った。,I sold clothes I no longer wear at a flea market.,この店では古着を安く売っている。,This shop sells used clothes cheaply.,服を買う: buy clothes / 服を譲る: give or transfer clothes to someone,服に売る incorrectly makes the clothing sound like the recipient. Say 人に服を売る when naming the buyer.
窓を開ける,まどをあける,mado o akeru,to open a window,collocation,Daily Life,neutral,"開ける is the everyday transitive verb when a person opens a window, door, container, or gap.",空気を入れ替えるために窓を開けた。,I opened the window to let in fresh air.,寒いので、窓を少しだけ開けてください。,"It's cold, so please open the window only a little.",窓が開く: the window opens / 窓を閉める: close the window,Do not mix the two verb patterns. A person opens it with 窓を開ける; the resulting event is 窓が開く.
ドアを閉める,どあをしめる,doa o shimeru,to close a door,collocation,Daily Life,neutral,"閉める is the standard transitive verb for a person closing a door, window, lid, or shop.",部屋を出るときにドアを静かに閉めた。,I closed the door quietly when I left the room.,冷房中なのでドアを閉めてください。,Please close the door while the air conditioning is on.,ドアが閉まる: the door closes / ドアを開ける: open the door,Use を with the transitive verb 閉める. Use が with the intransitive verb 閉まる when no agent is expressed.
ベッドで寝る,べっどでねる,beddo de neru,to sleep in a bed,collocation,Daily Life,neutral,"で marks the place where the action of sleeping occurs. に can mark getting into or lying down on the bed, but not the ordinary activity location in this meaning.",旅行中も自分のベッドで寝るのが恋しかった。,"Even while traveling, I missed sleeping in my own bed.",昨夜はソファではなく、ちゃんとベッドで寝た。,Last night I slept properly in bed instead of on the sofa.,ベッドに入る: get into bed / ベッドに横になる: lie down on the bed,寝る is intransitive and does not take the bed as a を-object. Use で for the place of sleeping.
残業が多い,ざんぎょうがおおい,zangyou ga ooi,to have a lot of overtime work,collocation,Daily Life,neutral,The thing that exists in a large amount takes が before 多い. The person or workplace is usually the topic.,今月は決算前で残業が多い。,I have a lot of overtime this month because the fiscal closing is near.,残業が多い職場では働きたくない。,I do not want to work at a workplace with a lot of overtime.,残業をする: work overtime / 残業が続く: overtime continues,"多い is an adjective, so its subject takes が. Use を only with a verb, as in 残業を減らす."
本を買う,ほんをかう,hon o kau,to buy a book,collocation,Daily Life,neutral,"The purchased item takes を; the place of purchase takes で, and the seller can take から.",駅前の書店で日本語の本を二冊買った。,I bought two Japanese books at the bookstore near the station.,電子版ではなく紙の本を買うことにした。,I decided to buy the print book rather than the digital edition.,本を借りる: borrow a book / 本を注文する: order a book,"Use が only in a potential pattern such as 本が買える. In the ordinary active sentence, the purchased item takes を."
時間を管理する,じかんをかんりする,jikan o kanri suru,to manage one's time,collocation,Daily Life,neutral,"管理する is used for controlling and organizing a resource such as time, money, inventory, or data.",複数の仕事を進めるには時間を上手に管理する必要がある。,"To handle several tasks, you need to manage your time well.",アプリで勉強時間を管理している。,I track and manage my study time with an app.,予定を立てる: make a schedule or plan / 時間を有効に使う: use time effectively,"The managed resource takes を. A manager or system that performs the management is the subject, not marked with に."
作業時間を短縮する,さぎょうじかんをたんしゅくする,sagyou jikan o tanshuku suru,to reduce working time,collocation,Daily Life,neutral,The duration being reduced takes を. 作業時間 makes the type of time explicit and is common in efficiency discussions.,新しい機械で作業時間を三十分短縮できた。,The new machine reduced the working time by thirty minutes.,手順を見直して、作業時間を短縮した。,We reviewed the procedure and reduced the working time.,作業時間が短縮される: the working time is reduced / 時間を節約する: save time,"Use を with active 短縮する. In the passive statement, say 作業時間が短縮される."
早寝早起きの習慣,はやねはやおきのしゅうかん,hayane hayaoki no shuukan,a habit of going to bed and getting up early,collocation,Daily Life,neutral,"早寝早起き forms a fixed pair, and の links that routine to 習慣.",子どものころに早寝早起きの習慣が身についた。,I developed the habit of going to bed and getting up early as a child.,早寝早起きの習慣を続けるため、夜十一時には寝る。,"To maintain my early-to-bed, early-to-rise routine, I go to bed by eleven.",生活習慣: lifestyle habit / 規則正しい生活: regular daily routine,Do not build the pair by inflecting 早い. 早寝 and 早起き are established noun forms.
時間を短縮する,じかんをたんしゅくする,jikan o tanshuku suru,to shorten the time required,collocation,Daily Life,neutral,短縮する takes the duration or time period being reduced as its を-object.,オンライン受付に変えて待ち時間を短縮した。,Switching to online reception shortened the waiting time.,会議時間を十五分短縮することになった。,We decided to shorten the meeting by fifteen minutes.,時間が短縮される: the time is reduced / 時間を節約する: save time,"Use を in an active sentence. With が, use the passive pattern 時間が短縮される."
歯を磨く,はをみがく,ha o migaku,to brush one's teeth,collocation,Daily Life,neutral,磨く covers brushing teeth as well as polishing surfaces and refining skills.,朝食のあとで歯を磨いた。,I brushed my teeth after breakfast.,寝る前に必ず歯を磨いている。,I always brush my teeth before bed.,歯をみがく: same phrase in kana / 口をゆすぐ: rinse one's mouth,"洗う is used for washing with water, but the standard verb for brushing teeth is 磨く."
顔を洗う,かおをあらう,kao o arau,to wash one's face,collocation,Daily Life,neutral,The body part being washed is the direct object of 洗う and takes を.,起きたら、まず冷たい水で顔を洗う。,"When I wake up, the first thing I do is wash my face with cold water.",化粧を落としてから顔を洗った。,I washed my face after removing my makeup.,手を洗う: wash one's hands / 顔を拭く: wipe one's face,"Use を for the body part. に can mark a location for applying something, as in 顔に水をかける."
パソコンを使う,ぱそこんをつかう,pasokon o tsukau,to use a computer,collocation,Daily Life,neutral,使う is the broad everyday verb for operating or using a computer.,仕事では毎日パソコンを使う。,I use a computer every day at work.,図書館のパソコンを使って資料を調べた。,I used a library computer to research the material.,パソコンで作業する: work on a computer / パソコンを操作する: operate a computer,Use を when the computer is the thing used. Use で when it is the means: パソコンで書く.
口座を開設する,こうざをかいせつする,kouza o kaisetsu suru,to open an account,collocation,Daily Life,neutral,"開設する is the formal standard verb for establishing an account, office, website, or service.",給料を受け取るために銀行口座を開設した。,I opened a bank account to receive my salary.,アプリから証券口座を開設できます。,You can open a securities account through the app.,"口座を作る: create an account, conversational / 口座を解約する: close an account contract","口座を閉じる is possible for closing an account, but opening one formally is 口座を開設する."
シャワーを浴びる,しゃわーをあびる,shawaa o abiru,to take a shower,collocation,Daily Life,neutral,浴びる is the standard verb for receiving a shower over the body. シャワー takes を.,運動のあとでシャワーを浴びた。,I took a shower after exercising.,朝は短いシャワーを浴びるだけだ。,"In the morning, I only take a quick shower.",お風呂に入る: take a bath / 水を浴びる: be drenched or splash water over oneself,Use 浴びる for a shower. 入る combines with お風呂 or 温泉 because the person enters the bath.
暇な時間,ひまなじかん,hima na jikan,free time; an unoccupied period,collocation,Daily Life,neutral,"暇 is a な-adjective before a noun, so it becomes 暇な時間.",暇な時間に旅行の写真を整理した。,I organized my travel photos in my free time.,昼休みに暇な時間があれば電話します。,I'll call during lunch if I have a free moment.,空いた時間: time that has become available / 自由時間: free time allotted for personal use,"Use な, not の, between 暇 and a noun. 暇だ is the sentence-final form."
お風呂に入る,おふろにはいる,ofuro ni hairu,to take a bath,collocation,Daily Life,neutral,"The bath is treated as the place entered, so お風呂 takes に before 入る.",夕食の前にお風呂に入った。,I took a bath before dinner.,疲れた日は早めにお風呂に入る。,"On tiring days, I take a bath early.",シャワーを浴びる: take a shower / 湯船につかる: soak in the bathtub,"Use に with 入る. お風呂を入れる means prepare or fill the bath, not bathe oneself."
服を着る,ふくをきる,fuku o kiru,to put on or wear clothes for the upper body,collocation,Daily Life,neutral,"着る is used for garments worn over the upper body or whole body, including shirts, coats, and dresses.",外が寒いので、暖かい服を着た。,"It was cold outside, so I put on warm clothes.",彼女は新しい服を着て出かけた。,She went out wearing her new clothes.,靴を履く: put on shoes / 帽子をかぶる: put on a hat,Use 履く for footwear and lower-body garments. 着る is the broad default for tops and one-piece clothing.
靴を履く,くつをはく,kutsu o haku,to put on or wear shoes,collocation,Daily Life,neutral,"履く is used for things worn from below, including shoes, socks, trousers, and skirts.",玄関で靴を履いて外に出た。,I put on my shoes at the entrance and went outside.,雨の日は滑りにくい靴を履く。,"On rainy days, I wear shoes that do not slip easily.",服を着る: put on clothes / 靴を脱ぐ: take off shoes,Do not use 着る for shoes. The kanji 履く is also used for trousers and skirts.
電気をつける,でんきをつける,denki o tsukeru,to turn on the light,collocation,Daily Life,neutral,"In everyday speech, 電気 often means an electric light; つける means switch it on.",暗くなったので部屋の電気をつけた。,"It grew dark, so I turned on the room light.",廊下の電気をつけたまま寝てしまった。,I fell asleep with the hall light on.,電気を消す: turn off the light / 明かりをつける: turn on a light,"Use つける for switching on a light or appliance. 開ける is for opening doors, windows, and containers."
電気を消す,でんきをけす,denki o kesu,to turn off the light,collocation,Daily Life,neutral,消す is the standard transitive verb for switching off a light and for extinguishing flames.,最後に部屋を出る人が電気を消してください。,The last person to leave the room should turn off the light.,寝る前に台所の電気を消した。,I turned off the kitchen light before bed.,電気が消える: the light goes out / 電気をつける: turn on the light,Use transitive 消す when someone turns it off. Use intransitive 消える when the light goes out.
時計を見る,とけいをみる,tokei o miru,to look at the clock or one's watch,collocation,Daily Life,neutral,見る is used for visually checking a clock or watch. The intended device follows from context.,時計を見たら、もう十二時を過ぎていた。,"When I looked at the clock, it was already past midnight.",何度も時計を見ながら友達を待った。,"I waited for my friend, looking at my watch again and again.","時間を確認する: check the time, more explicit / 時計を確認する: check the clock or watch",時計 is the device; 時間 is time itself. Use 時計を見る for the ordinary physical action.
テレビを見る,てれびをみる,terebi o miru,to watch television,collocation,Daily Life,neutral,見る covers watching television and video content; テレビ can mean the device or television programming.,夕食のあとで家族とテレビを見る。,I watch television with my family after dinner.,最近はテレビを見ずに、配信でニュースを見ている。,Lately I watch the news online rather than on television.,番組を見る: watch a program / テレビをつける: turn on the television,見る describes watching. つける only switches the device on and does not imply paying attention to it.
音楽を聴く,おんがくをきく,ongaku o kiku,to listen to music,collocation,Daily Life,neutral,"聴く emphasizes intentional, attentive listening. Everyday writing also commonly uses the more general kanji 聞く with music.",通勤中にイヤホンで音楽を聴いている。,I listen to music through earphones while commuting.,勉強するときは歌詞のない音楽を聴く。,"When I study, I listen to music without lyrics.",音楽を聞く: common general-kanji spelling / 音が聞こえる: a sound can be heard,聴く is not mandatory every time; 聞く is standard in everyday writing. Use 聞こえる for an involuntary audible sound.
予定がある,よていがある,yotei ga aru,to have plans; be scheduled,collocation,Daily Life,neutral,"The planned event or arrangement is presented as something that exists, so 予定 takes が before ある.",土曜日は家族と出かける予定がある。,I have plans to go out with my family on Saturday.,午後は会議の予定がある。,A meeting is scheduled for the afternoon.,予定を立てる: make plans / 用事がある: have something to do,"Use が with ある. Use を only when a transitive verb acts on the plan, as in 予定を変更する."
予約をする,よやくをする,yoyaku o suru,to make a reservation or appointment,collocation,Daily Life,neutral,"予約をする is the broad neutral pattern for booking a service, seat, room, or appointment.",電話で歯医者の予約をした。,I made a dentist appointment by phone.,人気の店なので、一週間前に予約をした。,"Because the restaurant is popular, I reserved a table a week ahead.",予約を取る: secure or make an appointment / 予約を取り消す: cancel a reservation,作る is not the standard verb for a reservation. Use 予約する or 予約をする.
引き出しを開ける,ひきだしをあける,hikidashi o akeru,to open a drawer,collocation,Daily Life,neutral,"開ける is the standard transitive verb for opening a drawer, door, window, or container.",机の引き出しを開けて、はさみを取り出した。,I opened the desk drawer and took out the scissors.,鍵がかかっていて引き出しを開けられない。,"The drawer is locked, so I cannot open it.",引き出しが開く: the drawer opens / 引き出しを閉める: close a drawer,"Use を with transitive 開ける. Potential 開けられる can change the subject marking in some contexts, so do not copy it into the basic pattern."
自由席を利用する,じゆうせきをりようする,jiyuuseki o riyou suru,to use non-reserved seating,collocation,Daily Life,neutral,利用する is natural for using an available service or seating category. 自由席 means seats not individually reserved.,混んでいない時間なら自由席を利用する。,"When it is not crowded, I use non-reserved seating.",追加料金を避けるため、自由席を利用した。,I used non-reserved seating to avoid the additional charge.,指定席を予約する: reserve an assigned seat / 自由席に座る: sit in a non-reserved seat,The service used takes を. A particular seat occupied takes に with 座る.
時間に制限がある,じかんにせいげんがある,jikan ni seigen ga aru,to have a time limit,collocation,Daily Life,neutral,"The domain being restricted takes に, while 制限 is what exists and takes が.",この試験は時間に厳しい制限がある。,This examination has a strict time limit.,面会時間に制限があるか確認した。,I checked whether visiting hours were restricted.,時間制限がある: there is a time limit / 時間を制限する: restrict the time,Do not combine を with 制限がある. Use 時間を制限する only when 制限する is the active verb.
資源を有効に使う,しげんをゆうこうにつかう,shigen o yuukou ni tsukau,to use resources effectively,collocation,Daily Life,neutral,有効に is the adverbial form modifying 使う; the resource takes を.,限られた水資源を有効に使う方法を考えた。,We considered ways to use limited water resources effectively.,人材と予算を有効に使う必要がある。,We need to use our personnel and budget effectively.,資源を節約する: conserve resources / 資源を活用する: make practical use of resources,Use に to turn 有効 into an adverb before 使う. 有効で would require a following clause or different construction.
写真を撮る,しゃしんをとる,shashin o toru,to take a photograph,collocation,Daily Life,neutral,撮る is the standard verb for taking photographs and recording video.,旅行先で家族の写真をたくさん撮った。,I took many photos of my family while traveling.,ここでは写真を撮ってもいいですか。,May I take photos here?,動画を撮る: record a video / 写真に写る: appear in a photograph,取る has the same pronunciation but means take or obtain more generally. Use the camera-related kanji 撮る for photos and video.
本を翻訳する,ほんをほんやくする,hon o honyaku suru,to translate a book,collocation,Daily Life,neutral,The source text takes を; the source language takes から and the target language takes に.,彼女はその本を日本語から英語に翻訳した。,She translated the book from Japanese into English.,専門用語の多い本を翻訳するのは難しい。,Translating a book full of technical terms is difficult.,会議で通訳する: interpret at a meeting / 文章を訳す: translate a passage,Do not use 通訳する for a written book. 通訳 handles spoken communication; 翻訳 handles written text and subtitles.
用事がある,ようじがある,youji ga aru,to have something to do; have an errand,collocation,Daily Life,neutral,"用事 is a task, errand, or matter requiring attention; it is presented as existing with がある.",今日は銀行に用事がある。,I have some business at the bank today.,午後は用事があるので、先に帰ります。,"I have something to take care of this afternoon, so I'll leave early.",予定がある: have plans or something scheduled / 用を済ませる: finish an errand,"Use が with ある. 用事 can be deliberately vague, so state the task if the listener needs specifics."
家に帰る,いえにかえる,ie ni kaeru,to go or come home,collocation,Home and Housework,neutral,家に帰る is the ordinary way to say that someone returns home; the destination takes に.,仕事が終わったら、まっすぐ家に帰る。,I go straight home after work.,雨が降る前に家に帰ろう。,Let's go home before it rains.,"家へ帰る: go home, with directional emphasis / 実家に帰る: return to one's family home","Use に or へ for the destination. を can mark a route or point of departure, not the destination of 帰る."
部屋を掃除する,へやをそうじする,heya o souji suru,to clean a room,collocation,Home and Housework,neutral,The place being cleaned takes を with 掃除する. The shorter 部屋を掃除する is suitable as a reusable pattern.,土曜日の朝に自分の部屋を掃除する。,I clean my room on Saturday mornings.,来客の前に客間を掃除した。,I cleaned the guest room before our visitors arrived.,部屋を片付ける: tidy a room / 部屋に掃除機をかける: vacuum a room,Use を for the target of cleaning. 掃除する concerns dirt; 片付ける concerns disorder and objects left out.
台所で料理する,だいどころでりょうりする,daidokoro de ryouri suru,to cook in the kitchen,collocation,Home and Housework,neutral,で marks the place where the activity 料理する happens. 台所 is the everyday word for a home kitchen.,休日は家族と台所で料理する。,"On days off, I cook with my family in the kitchen.",狭い台所で二人一緒に料理した。,The two of us cooked together in the small kitchen.,台所に立つ: work in the kitchen / 家で料理する: cook at home,"Use で for an activity performed in a place. に is possible with verbs of existence or arrival, such as 台所にいる."
部屋の奥,へやのおく,heya no oku,the back or far end of a room,collocation,Home and Housework,neutral,奥 refers to the area farthest from the entrance or viewpoint. の links the space to its far end.,季節外れの荷物は部屋の奥に置いてある。,The out-of-season belongings are kept at the back of the room.,部屋の奥から古い箱を取り出した。,I took an old box out from the back of the room.,部屋の中: inside the room / 廊下の突き当たり: the end of the corridor,Use の between the reference space and 奥. Choose 中 when depth or distance from the entrance is irrelevant.
手料理を作る,てりょうりをつくる,teryouri o tsukuru,to make a home-cooked meal for someone,collocation,Home and Housework,neutral,"手料理 usually highlights food personally cooked for other people, often with warmth or care.",誕生日に家族のために手料理を作った。,I made a home-cooked meal for my family on their birthday.,今度、得意な手料理を作ってあげたい。,"Next time, I'd like to cook my specialty for them.",料理を作る: cook or make food / 手料理を振る舞う: serve one's home cooking,作る is natural for preparing the food. 振る舞う shifts the focus to serving it to guests.
料理に凝る,りょうりにこる,ryouri ni koru,to become deeply interested in cooking,collocation,Home and Housework,neutral,"Xに凝る means to devote unusual enthusiasm, time, or attention to X as a hobby or pursuit.",在宅勤務を始めてから料理に凝っている。,I've become deeply interested in cooking since I started working from home.,父は最近、燻製料理に凝っている。,My father has recently gotten really into smoked food.,料理に夢中になる: become absorbed in cooking / 料理にこだわる: be particular about cooking,The interest takes に. 凝った料理 is a different pattern meaning elaborate or ingeniously prepared food.
お袋の味,おふくろのあじ,ofukuro no aji,the taste of one's mother's home cooking,collocation,Home and Housework,neutral,"This set phrase evokes familiar food cooked by one's mother. It often appears in nostalgic, traditionally male speech.",この煮物を食べると、お袋の味を思い出す。,This simmered dish reminds me of my mother's cooking.,店の看板には『お袋の味』と書かれていた。,The restaurant sign advertised 'mother's home cooking.',"母の味: mother's cooking, more neutral / 家庭の味: the taste of home cooking",お袋 is informal and may sound old-fashioned or overly familiar. Use 母の味 or 家庭の味 when that voice is unsuitable.
部屋を片付ける,へやをかたづける,heya o katazukeru,to tidy up a room,collocation,Home and Housework,neutral,片付ける means putting scattered objects away and restoring order; the space being tidied takes を.,友達が来る前に部屋を片付けた。,I tidied my room before my friend came over.,使った物を戻せば、部屋を片付けやすい。,A room is easier to tidy if you return things after using them.,部屋を掃除する: clean a room / 物を片付ける: put things away,Use transitive 片付ける with を. 部屋が片付く uses the intransitive form and describes the room becoming tidy.
清潔に保つ,せいけつにたもつ,seiketsu ni tamotsu,to keep something clean and hygienic,collocation,Home and Housework,neutral,"The に-form marks the maintained state, while 保つ expresses keeping that state over time.",調理器具はいつも清潔に保ってください。,Please keep the cooking utensils clean at all times.,浴室を清潔に保つには換気も必要だ。,Ventilation is also needed to keep a bathroom clean.,きれいに保つ: keep clean or attractive / 衛生を保つ: maintain hygiene,"Use 清潔に before 保つ. 清潔で is used to connect clauses, as in 清潔で使いやすい."
家庭料理を習う,かていりょうりをならう,katei ryouri o narau,to learn home-style cooking from someone,collocation,Home and Housework,neutral,習う presents a skill or subject learned through instruction; the subject takes を.,地域の教室で日本の家庭料理を習っている。,I'm learning Japanese home-style cooking at a local class.,祖母から郷土の家庭料理を習った。,I learned local home cooking from my grandmother.,家庭料理を学ぶ: study home cooking / 料理教室に通う: attend a cooking class,Use を for what is learned and から or に for the teacher. 通う instead selects the school or class as a destination.
風呂に入る,ふろにはいる,furo ni hairu,to take a bath,collocation,Home and Housework,neutral,風呂に入る is the standard expression for bathing; に marks what one enters.,寝る前にゆっくり風呂に入る。,I take a relaxing bath before bed.,今日は銭湯で風呂に入った。,I had a bath at a public bathhouse today.,風呂に入れる: put someone in the bath / シャワーを浴びる: take a shower,"Use に with intransitive 入る. 風呂を入れる usually means preparing the bath, depending on context."
ゴミを出す,ごみをだす,gomi o dasu,to put out the rubbish for collection,collocation,Home and Housework,neutral,"In household contexts, ゴミを出す commonly means taking rubbish to the designated collection point.",火曜日の朝に燃えるゴミを出す。,I put out the burnable rubbish on Tuesday morning.,収集日の前夜にはゴミを出さないでください。,Please do not put out rubbish the night before collection day.,ゴミを捨てる: throw rubbish away / ゴミが出る: rubbish is produced,Use を with the deliberate action 出す. Local sorting and collection rules determine when and where the phrase applies.
洗濯機を回す,せんたくきをまわす,sentakuki o mawasu,to run the washing machine,collocation,Home and Housework,neutral,回す is a common conversational verb for operating a washing machine through a wash cycle.,朝食の前に洗濯機を回した。,I ran the washing machine before breakfast.,洗濯機を回している間に床を掃除する。,I clean the floor while the washing machine is running.,洗濯機を動かす: operate or move the washer / 洗濯をする: do the laundry,"回す is everyday wording. In manuals or formal instructions, 運転する may be used for machine operation."
